title,link,picture,description,category,date
Ураган – ХІТ. Фінал ЧУ. Матч 2. Дивитися онлайн. LIVE трансляція,http://sport.ua/uk/news/627114-uragan-hit-final-chu-match-2-divitisya-onlayn-live-translyatsiya,https://pic.sport.ua/images/news/0/15/135/orig_627114.jpg,Дивіться 21 травня о 16:00 трансляцію 2-го матчу фінальної серії Екстра-ліги,"['Футзал', 'Інші новини']","Sun, 21 May 2023 16:59:00 +0300"
Манчестер Сіті – Челсі. Прогноз і анонс на матч чемпіонату Англії,http://sport.ua/uk/news/627049-manchester-siti-chelsi-prognoz-i-anons-na-match-chempionatu-anglii,https://pic.sport.ua/images/news/0/15/135/orig_627049.jpg,"Це міг би бути чемпіонський матч команди Гвардіоли, але «Арсенал» і тут все зіпсував","['Футбол', 'Англія']","Sun, 21 May 2023 16:00:00 +0300"
Динамо – Шахтар. Класичне жіноче. Дивитися онлайн. LIVE трансляція,http://sport.ua/uk/news/627117-dinamo-shahtar-klasichne-zhinoche-divitisya-onlayn-live-translyatsiya,https://pic.sport.ua/images/news/0/15/135/orig_627117.jpg,Дивіться 21 травня о 16:00 поєдинок жіночого чемпіонату України,"['Футбол', 'Інші новини']","Sun, 21 May 2023 15:55:00 +0300"
Шахтар розкритикував Барсу за відеопослання з вдячністю до росіян,http://sport.ua/uk/news/627121-shahtar-rozkritikuvav-barsu-za-videoposlannya-z-vdyachnistyu-do-rosiyan,https://pic.sport.ua/images/news/0/15/135/orig_627121.jpg,У донецькому клубі здивовані позицією іспанської команди,"['Футбол', ""Україна. Прем'єр Ліга""]","Sun, 21 May 2023 15:54:00 +0300"
Заб ДЖУДА: «Хейні тримав бій із Ломаченком під контролем»,http://sport.ua/uk/news/627120-zab-dzhuda-heyni-trimav-biy-iz-lomachenkom-pid-kontrolem,https://pic.sport.ua/images/news/0/15/135/orig_627120.jpg,Колишній чемпіон світу підтримав суддівське рішення,"['Бокс', 'Професійний бокс']","Sun, 21 May 2023 15:38:00 +0300"
Це провокація. У Шахтарі різко відреагували на чутки про відхід Йовічевіча,http://sport.ua/uk/news/627119-tse-provokatsiya-u-shahtari-rizko-vidreaguvali-na-chutki-pro-vidhid-yovichevicha,https://pic.sport.ua/images/news/0/15/135/orig_627119.jpg,Даріо Срна спростував інформацію про можливі зміни на тренерському містку донеччан,"['Футбол', ""Україна. Прем'єр Ліга""]","Sun, 21 May 2023 15:23:00 +0300"
Рух – Львів. Прогноз і анонс на матч чемпіонату України,http://sport.ua/uk/news/627034-ruh-lviv-prognoz-i-anons-na-match-chempionatu-ukraini,https://pic.sport.ua/images/news/0/15/135/orig_627034.jpg,Львівське дербі може відправити «Львів» до Першої ліги,"['Футбол', ""Україна. Прем'єр Ліга""]","Sun, 21 May 2023 15:15:00 +0300"
Еліна Світоліна – Луїза Чіріко. Дивитися онлайн. LIVE трансляція,http://sport.ua/uk/news/627105-elina-svitolina-luiza-chiriko-divitisya-onlayn-live-translyatsiya,https://pic.sport.ua/images/news/0/15/135/orig_627105.jpg,Дивіться відеотрансляцію матчу першого кола на турнірі в Страсбурзі,"['Теніс', 'WTA']","Sun, 21 May 2023 15:10:00 +0300"
"Ломаченко розповів, чому свідомо віддав Хейні 12-й раунд",http://sport.ua/uk/news/627118-lomachenko-rozpoviv-chomu-svidomo-viddav-heyni-12-y-raund,https://pic.sport.ua/images/news/0/15/135/orig_627118.jpg,Василь був упевнений у своїй перемозі,"['Бокс', 'Професійний бокс']","Sun, 21 May 2023 15:05:00 +0300"
Металіст 1925 – Металіст. Дивитися онлайн. LIVE трансляція,http://sport.ua/uk/news/627038-metalist-1925-metalist-divitisya-onlayn-live-translyatsiya,https://pic.sport.ua/images/news/0/15/135/orig_627038.jpg,Дивіться 21 травня о 15:00 поєдинок 27-го туру Української Прем'єр-Ліги,"['Футбол', ""Україна. Прем'єр Ліга""]","Sun, 21 May 2023 15:00:00 +0300"
Металіст 1925 – Металіст – 0:0. Текстова трансляція. LIVE,http://sport.ua/uk/news/627045-metalist-1925-metalist-tekstova-translyatsiya-matchu,https://pic.sport.ua/images/news/0/15/135/orig_627045.jpg,Слідкуйте за текстовою трансляцією поєдинку 27-го туру Української Прем'єр-ліги,"['Футбол', ""Україна. Прем'єр Ліга""]","Sun, 21 May 2023 14:57:00 +0300"
Маррей слідом за Надалем знявся з Ролан Гаррос,http://sport.ua/uk/news/627116-marrey-slidom-za-nadalem-znyavsya-z-rolan-garros,https://pic.sport.ua/images/news/0/15/135/orig_627116.jpg,Британця замінить Маттео Арнальді з Італії,"['Теніс', 'Ролан Гаррос']","Sun, 21 May 2023 14:50:00 +0300"
"Рой ДЖОНС: «Лома виграв чемпіонські раунди. Я думав, що буде нічия»",http://sport.ua/uk/news/627115-roy-dzhons-loma-vigrav-chempionski-raundi-ya-dumav-shcho-bude-nichiya,https://pic.sport.ua/images/news/0/15/135/orig_627115.jpg,Колишній боксер – про результат чемпіонського бою,"['Бокс', 'Професійний бокс']","Sun, 21 May 2023 14:33:00 +0300"
Металіст 1925 – Металіст. Відомі стартові склади команд,http://sport.ua/uk/news/627113-metalist-1925-metalist-vidomi-startovi-skladi-komand,https://pic.sport.ua/images/news/0/15/135/orig_627113.jpg,Початок зустрічі о 15:00,"['Футбол', ""Україна. Прем'єр Ліга""]","Sun, 21 May 2023 14:15:00 +0300"
"Колишній тренер Джошуа: «Лома виграв більшість раундів, його пограбували»",http://sport.ua/uk/news/627112-kolishniy-trener-dzhoshua-loma-vigrav-bilshist-raundiv-yogo-pograbuvali,https://pic.sport.ua/images/news/0/15/135/orig_627112.jpg,"Роберт Гарсія вважає, що український боксер був кращим у цьому бою","['Бокс', 'Професійний бокс']","Sun, 21 May 2023 14:04:00 +0300"
Друга ліга. Передостанній тур. Дивитися онлайн. LIVE трансляція,http://sport.ua/uk/news/627108-druga-liga-peredostanniy-tur-divitisya-onlayn-live-translyatsiya,https://pic.sport.ua/images/news/0/15/135/orig_627108.jpg,Дивіться 21 травня відеотрансляції матчів 17 туру Другої ліги,"['Футбол', 'Україна. Друга ліга']","Sun, 21 May 2023 14:00:00 +0300"
Ваншельбойм зупинився за крок від титулу в Ефіопії,http://sport.ua/uk/news/627110-vanshelboym-zupinivsya-za-krok-vid-titulu-v-efiopii,https://pic.sport.ua/images/news/0/15/135/orig_627110.jpg,Ерік програв представнику Зімбабве,"['Теніс', 'ITF']","Sun, 21 May 2023 13:50:00 +0300"
"Яремчук уперше за 2,5 місяці вийде в стартовому складі Брюгге",http://sport.ua/uk/news/627109-yaremchuk-upershe-za-25-misyatsi-viyde-v-startovomu-skladi-bryugge,https://pic.sport.ua/images/news/0/15/135/orig_627109.jpg,Український нападник зіграє з перших хвилин матчу проти «Антверпена»,"['Футбол', 'Бельгія']","Sun, 21 May 2023 13:40:00 +0300"
Металіст 1925 – Металіст. Прогноз та анонс на матч чемпіонату України,http://sport.ua/uk/news/626983-metalist-1925-metalist-prognoz-ta-anons-na-match-chempionatu-ukraini,https://pic.sport.ua/images/news/0/15/134/orig_626983.jpg,У боротьбі за збереження місця у Прем'єр-Лізі обом харківським командам важливо набрати очки,"['Футбол', ""Україна. Прем'єр Ліга""]","Sun, 21 May 2023 13:35:00 +0300"
Коваль у складі Шерифа став чемпіоном Молдови,http://sport.ua/uk/news/627111-koval-u-skladi-sherifa-stav-chempionom-moldovi,https://pic.sport.ua/images/news/0/15/135/orig_627111.jpg,Українець допоміг команді з Тирасполя,"['Футбол', 'Інші новини']","Sun, 21 May 2023 13:32:00 +0300"
